"Year","Week","n","Offense"
2024,1,1097,"Misd. Assault"
2024,2,999,"Misd. Assault"
2024,3,898,"Misd. Assault"
2024,4,1097,"Misd. Assault"
2024,5,1103,"Misd. Assault"
2024,6,1127,"Misd. Assault"
2024,7,1126,"Misd. Assault"
2024,8,1030,"Misd. Assault"
2024,9,1152,"Misd. Assault"
2024,10,1122,"Misd. Assault"
2024,11,1339,"Misd. Assault"
2024,12,1031,"Misd. Assault"
2024,13,987,"Misd. Assault"
2024,14,1023,"Misd. Assault"
2024,15,1165,"Misd. Assault"
2024,16,1188,"Misd. Assault"
2024,17,1163,"Misd. Assault"
2024,18,1196,"Misd. Assault"
2024,19,1218,"Misd. Assault"
2024,20,1316,"Misd. Assault"
2024,21,1394,"Misd. Assault"
2024,22,1441,"Misd. Assault"
2024,23,1373,"Misd. Assault"
2024,24,1375,"Misd. Assault"
2024,25,1383,"Misd. Assault"
2024,26,1379,"Misd. Assault"
2024,27,1389,"Misd. Assault"
2024,28,1291,"Misd. Assault"
2024,29,1210,"Misd. Assault"
2024,30,1302,"Misd. Assault"
2024,31,1274,"Misd. Assault"
2024,32,1224,"Misd. Assault"
2024,33,1267,"Misd. Assault"
2024,34,1207,"Misd. Assault"
2024,35,1215,"Misd. Assault"
2024,36,1181,"Misd. Assault"
2024,37,1310,"Misd. Assault"
2024,38,1297,"Misd. Assault"
2024,39,1173,"Misd. Assault"
2024,40,120,"Misd. Assault"
2024,1,228,"Burglary"
2024,2,279,"Burglary"
2024,3,209,"Burglary"
2024,4,267,"Burglary"
2024,5,238,"Burglary"
2024,6,221,"Burglary"
2024,7,246,"Burglary"
2024,8,257,"Burglary"
2024,9,273,"Burglary"
2024,10,233,"Burglary"
2024,11,223,"Burglary"
2024,12,240,"Burglary"
2024,13,236,"Burglary"
2024,14,234,"Burglary"
2024,15,220,"Burglary"
2024,16,241,"Burglary"
2024,17,270,"Burglary"
2024,18,225,"Burglary"
2024,19,223,"Burglary"
2024,20,249,"Burglary"
2024,21,281,"Burglary"
2024,22,254,"Burglary"
2024,23,239,"Burglary"
2024,24,250,"Burglary"
2024,25,232,"Burglary"
2024,26,209,"Burglary"
2024,27,231,"Burglary"
2024,28,258,"Burglary"
2024,29,228,"Burglary"
2024,30,268,"Burglary"
2024,31,243,"Burglary"
2024,32,240,"Burglary"
2024,33,277,"Burglary"
2024,34,278,"Burglary"
2024,35,237,"Burglary"
2024,36,237,"Burglary"
2024,37,230,"Burglary"
2024,38,250,"Burglary"
2024,39,215,"Burglary"
2024,40,13,"Burglary"
2024,1,557,"Fel. Assault"
2024,2,472,"Fel. Assault"
