"Year","Week","Offense","n"
2006,1,"Burglary",426
2006,1,"Fel. Assault",314
2006,1,"G.L.A.",332
2006,1,"Gr. Larceny",948
2006,1,"Misd. Assault",938
2006,1,"Murder",12
2006,1,"Petit Larceny",1453
2006,1,"Rape",83
2006,1,"Robbery",465
2006,2,"Burglary",491
2006,2,"Fel. Assault",315
2006,2,"G.L.A.",305
2006,2,"Gr. Larceny",896
2006,2,"Misd. Assault",961
2006,2,"Murder",13
2006,2,"Petit Larceny",1505
2006,2,"Rape",33
2006,2,"Robbery",505
2006,3,"Burglary",445
2006,3,"Fel. Assault",250
2006,3,"G.L.A.",333
2006,3,"Gr. Larceny",851
2006,3,"Misd. Assault",952
2006,3,"Murder",8
2006,3,"Petit Larceny",1514
2006,3,"Rape",34
2006,3,"Robbery",443
2006,4,"Burglary",431
2006,4,"Fel. Assault",263
2006,4,"G.L.A.",282
2006,4,"Gr. Larceny",805
2006,4,"Misd. Assault",852
2006,4,"Murder",9
2006,4,"Petit Larceny",1437
2006,4,"Rape",31
2006,4,"Robbery",442
2006,5,"Burglary",439
2006,5,"Fel. Assault",304
2006,5,"G.L.A.",296
2006,5,"Gr. Larceny",814
2006,5,"Misd. Assault",923
2006,5,"Murder",10
2006,5,"Petit Larceny",1525
2006,5,"Rape",44
2006,5,"Robbery",410
2006,6,"Burglary",397
2006,6,"Fel. Assault",248
2006,6,"G.L.A.",304
2006,6,"Gr. Larceny",778
2006,6,"Misd. Assault",946
2006,6,"Murder",11
2006,6,"Petit Larceny",1368
2006,6,"Rape",22
2006,6,"Robbery",390
2006,7,"Burglary",383
2006,7,"Fel. Assault",240
2006,7,"G.L.A.",231
2006,7,"Gr. Larceny",697
2006,7,"Misd. Assault",930
2006,7,"Murder",8
2006,7,"Petit Larceny",1270
2006,7,"Rape",25
2006,7,"Robbery",358
2006,8,"Burglary",384
2006,8,"Fel. Assault",243
2006,8,"G.L.A.",267
2006,8,"Gr. Larceny",684
2006,8,"Misd. Assault",817
2006,8,"Murder",14
2006,8,"Petit Larceny",1248
2006,8,"Rape",28
2006,8,"Robbery",310
2006,9,"Burglary",411
2006,9,"Fel. Assault",285
2006,9,"G.L.A.",283
2006,9,"Gr. Larceny",830
2006,9,"Misd. Assault",887
2006,9,"Murder",7
2006,9,"Petit Larceny",1385
2006,9,"Rape",37
2006,9,"Robbery",361
2006,10,"Burglary",435
2006,10,"Fel. Assault",296
2006,10,"G.L.A.",292
2006,10,"Gr. Larceny",757
2006,10,"Misd. Assault",1052
2006,10,"Murder",8
2006,10,"Petit Larceny",1469
2006,10,"Rape",22
2006,10,"Robbery",432
2006,11,"Burglary",445
2006,11,"Fel. Assault",304
2006,11,"G.L.A.",269
2006,11,"Gr. Larceny",848
2006,11,"Misd. Assault",1027
2006,11,"Murder",4
2006,11,"Petit Larceny",1349
2006,11,"Rape",22
2006,11,"Robbery",410
2006,12,"Burglary",418
2006,12,"Fel. Assault",306
2006,12,"G.L.A.",313
2006,12,"Gr. Larceny",793
2006,12,"Misd. Assault",998
2006,12,"Murder",7
2006,12,"Petit Larceny",1434
2006,12,"Rape",24
2006,12,"Robbery",382
2006,13,"Burglary",437
2006,13,"Fel. Assault",313
2006,13,"G.L.A.",289
2006,13,"Gr. Larceny",864
2006,13,"Misd. Assault",1060
2006,13,"Murder",11
2006,13,"Petit Larceny",1513
2006,13,"Rape",48
2006,13,"Robbery",385
2006,14,"Burglary",395
2006,14,"Fel. Assault",318
2006,14,"G.L.A.",307
2006,14,"Gr. Larceny",779
2006,14,"Misd. Assault",1041
2006,14,"Murder",7
2006,14,"Petit Larceny",1503
2006,14,"Rape",28
2006,14,"Robbery",409
2006,15,"Burglary",376
2006,15,"Fel. Assault",325
2006,15,"G.L.A.",298
2006,15,"Gr. Larceny",801
2006,15,"Misd. Assault",1073
2006,15,"Murder",8
2006,15,"Petit Larceny",1482
2006,15,"Rape",21
2006,15,"Robbery",357
2006,16,"Burglary",395
2006,16,"Fel. Assault",316
2006,16,"G.L.A.",334
2006,16,"Gr. Larceny",784
2006,16,"Misd. Assault",975
2006,16,"Murder",11
2006,16,"Petit Larceny",1523
2006,16,"Rape",25
2006,16,"Robbery",344
2006,17,"Burglary",435
2006,17,"Fel. Assault",330
2006,17,"G.L.A.",299
2006,17,"Gr. Larceny",839
2006,17,"Misd. Assault",1029
2006,17,"Murder",9
2006,17,"Petit Larceny",1527
2006,17,"Rape",26
2006,17,"Robbery",383
2006,18,"Burglary",417
2006,18,"Fel. Assault",372
2006,18,"G.L.A.",294
2006,18,"Gr. Larceny",918
2006,18,"Misd. Assault",1124
2006,18,"Murder",9
2006,18,"Petit Larceny",1628
2006,18,"Rape",37
2006,18,"Robbery",403
2006,19,"Burglary",443
2006,19,"Fel. Assault",343
2006,19,"G.L.A.",292
2006,19,"Gr. Larceny",855
2006,19,"Misd. Assault",1085
2006,19,"Murder",9
2006,19,"Petit Larceny",1523
2006,19,"Rape",22
2006,19,"Robbery",417
2006,20,"Burglary",431
2006,20,"Fel. Assault",358
2006,20,"G.L.A.",324
2006,20,"Gr. Larceny",833
2006,20,"Misd. Assault",945
2006,20,"Murder",11
2006,20,"Petit Larceny",1489
2006,20,"Rape",17
2006,20,"Robbery",438
2006,21,"Burglary",474
2006,21,"Fel. Assault",349
2006,21,"G.L.A.",253
2006,21,"Gr. Larceny",855
2006,21,"Misd. Assault",1070
2006,21,"Murder",15
2006,21,"Petit Larceny",1602
2006,21,"Rape",22
2006,21,"Robbery",428
2006,22,"Burglary",410
2006,22,"Fel. Assault",378
2006,22,"G.L.A.",301
2006,22,"Gr. Larceny",906
2006,22,"Misd. Assault",1138
2006,22,"Murder",11
2006,22,"Petit Larceny",1512
2006,22,"Rape",52
2006,22,"Robbery",423
2006,23,"Burglary",432
2006,23,"Fel. Assault",321
2006,23,"G.L.A.",268
2006,23,"Gr. Larceny",868
2006,23,"Misd. Assault",1026
2006,23,"Murder",10
2006,23,"Petit Larceny",1519
2006,23,"Rape",20
2006,23,"Robbery",417
2006,24,"Burglary",381
2006,24,"Fel. Assault",406
2006,24,"G.L.A.",325
2006,24,"Gr. Larceny",843
2006,24,"Misd. Assault",1135
2006,24,"Murder",3
2006,24,"Petit Larceny",1608
2006,24,"Rape",22
2006,24,"Robbery",425
2006,25,"Burglary",479
2006,25,"Fel. Assault",399
