"Year","Week","Offense","n","Date","Month","rollingavg","ytd","monthly_n"
2006,1,"Burglary",426,2006-01-02,1,NA,426,2232
2006,1,"Fel. Assault",314,2006-01-02,1,NA,314,1446
2006,1,"G.L.A.",332,2006-01-02,1,NA,332,1548
2006,1,"Gr. Larceny",948,2006-01-02,1,NA,948,4314
2006,1,"Misd. Assault",938,2006-01-02,1,NA,938,4626
2006,1,"Murder",12,2006-01-02,1,NA,12,52
2006,1,"Petit Larceny",1453,2006-01-02,1,NA,1453,7434
2006,1,"Rape",83,2006-01-02,1,NA,83,225
2006,1,"Robbery",465,2006-01-02,1,NA,465,2265
2007,1,"Burglary",399,2007-01-01,1,22937,399,2041
2007,1,"Fel. Assault",330,2007-01-01,1,16980,330,1358
2007,1,"G.L.A.",289,2007-01-01,1,15796,289,1225
2007,1,"Gr. Larceny",971,2007-01-01,1,46092,971,4145
2007,1,"Misd. Assault",1050,2007-01-01,1,51524,1050,4555
2007,1,"Murder",6,2007-01-01,1,560,6,28
2007,1,"Petit Larceny",1576,2007-01-01,1,80045,1576,7342
2007,1,"Rape",73,2007-01-01,1,1521,73,149
2007,1,"Robbery",430,2007-01-01,1,22826,430,1972
2008,1,"Burglary",396,2008-01-07,1,21571,396,1596
2008,1,"Fel. Assault",367,2008-01-07,1,17311,367,1162
2008,1,"G.L.A.",234,2008-01-07,1,13038,234,937
2008,1,"Gr. Larceny",904,2008-01-07,1,44364,904,3290
2008,1,"Misd. Assault",979,2008-01-07,1,50865,979,3712
2008,1,"Murder",13,2008-01-07,1,493,13,38
2008,1,"Petit Larceny",1478,2008-01-07,1,79449,1478,6293
2008,1,"Rape",81,2008-01-07,1,1307,81,143
2008,1,"Robbery",438,2008-01-07,1,21343,438,1746
2009,1,"Burglary",317,2009-01-05,1,20508,317,1330
2009,1,"Fel. Assault",295,2009-01-05,1,16136,295,1079
2009,1,"G.L.A.",208,2009-01-05,1,12381,208,861
2009,1,"Gr. Larceny",733,2009-01-05,1,43381,733,2738
2009,1,"Misd. Assault",877,2009-01-05,1,49944,877,3430
2009,1,"Murder",5,2009-01-05,1,501,5,26
2009,1,"Petit Larceny",1449,2009-01-05,1,82587,1449,5618
2009,1,"Rape",66,2009-01-05,1,1281,66,118
2009,1,"Robbery",376,2009-01-05,1,22199,376,1494
2010,1,"Burglary",367,2010-01-04,1,19414,367,1535
2010,1,"Fel. Assault",289,2010-01-04,1,16717,289,1143
2010,1,"G.L.A.",184,2010-01-04,1,10563,184,757
2010,1,"Gr. Larceny",713,2010-01-04,1,38851,713,2697
2010,1,"Misd. Assault",979,2010-01-04,1,50158,979,3717
2010,1,"Murder",6,2010-01-04,1,454,6,29
2010,1,"Petit Larceny",1411,2010-01-04,1,80435,1411,6059
2010,1,"Rape",90,2010-01-04,1,1256,90,151
2010,1,"Robbery",389,2010-01-04,1,18544,389,1590
2011,1,"Burglary",323,2011-01-03,1,18595,323,1562
2011,1,"Fel. Assault",380,2011-01-03,1,17183,380,1588
2011,1,"G.L.A.",180,2011-01-03,1,10263,180,822
2011,1,"Gr. Larceny",702,2011-01-03,1,37947,702,3188
2011,1,"Misd. Assault",995,2011-01-03,1,52566,995,4414
2011,1,"Murder",4,2011-01-03,1,527,4,27
2011,1,"Petit Larceny",1339,2011-01-03,1,81188,1339,6353
2011,1,"Rape",79,2011-01-03,1,1423,79,189
2011,1,"Robbery",400,2011-01-03,1,19557,400,1734
2012,1,"Burglary",346,2012-01-02,1,18824,346,1806
2012,1,"Fel. Assault",358,2012-01-02,1,18459,358,1579
2012,1,"G.L.A.",145,2012-01-02,1,9235,145,689
2012,1,"Gr. Larceny",739,2012-01-02,1,38836,739,3626
2012,1,"Misd. Assault",990,2012-01-02,1,50726,990,4660
2012,1,"Murder",8,2012-01-02,1,498,8,39
2012,1,"Petit Larceny",1425,2012-01-02,1,81071,1425,7432
2012,1,"Rape",65,2012-01-02,1,1443,65,165
2012,1,"Robbery",361,2012-01-02,1,19681,361,1963
2013,1,"Burglary",317,2013-01-07,1,19193,317,1311
2013,1,"Fel. Assault",382,2013-01-07,1,19492,382,1382
2013,1,"G.L.A.",117,2013-01-07,1,8000,117,492
